2048,2,0.038147
2048,3,0.025146
2048,4,0.023283
2048,5,0.027756
3072,2,0.016954
3072,3,0.007451
3072,4,0.004599
3072,5,0.003655
4096,2,0.009537
4096,3,0.003143
4096,4,0.001455
4096,5,0.000867
5120,2,0.006104
5120,3,0.001609
5120,4,0.000596
5120,5,0.000284
6144,2,0.004239
6144,3,0.000931
6144,4,0.000287
6144,5,0.000114
7168,2,0.003114
7168,3,0.000586
7168,4,0.000155
7168,5,0.000053
8192,2,0.002384
8192,3,0.000393
8192,4,0.000091
8192,5,0.000027
9216,2,0.001884
9216,3,0.000276
9216,4,0.000057
9216,5,0.000015
